Type,"Country Code","Series Code","Description"
Country-Series,"Aruba (ABW)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Population, total (SP.POP.TOTL)","Data sources : Institute of Statistics, Eurostat"
Country-Series,"Andorra (AND)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"American Samoa (ASM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Australia (AUS)","Population, total (SP.POP.TOTL)","Data sources : Australian Bureau of Statistics"
Country-Series,"Austria (AUT)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Azerbaijan (AZE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Belgium (BEL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Benin (BEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bulgaria (BGR)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Bahrain (BHR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bahamas, The (BHS)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bosnia and Herzegovina (BIH)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Belarus (BLR)","Population, total (SP.POP.TOTL)","Data sources : National Statistical Committee of the Republic of Belarus"
Country-Series,"Belize (BLZ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bermuda (BMU)","Population, total (SP.POP.TOTL)","Data sources : Bermuda Government Department of Statistics"
Country-Series,"Bolivia (BOL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Barbados (BRB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Brunei Darussalam (BRN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Canada (CAN)","Population, total (SP.POP.TOTL)","Data sources : Statistics Canada"
Country-Series,"Switzerland (CHE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Channel Islands (CHI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Chile (CHL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"China (CHN)","Population, total (SP.POP.TOTL)","Data sources : National Bureau of Statistics"
Country-Series,"Côte d'Ivoire (CIV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cameroon (CMR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Congo, Dem. Rep. (COD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Congo, Rep. (COG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Colombia (COL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Comoros (COM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cabo Verde (CPV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Costa Rica (CRI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cuba (CUB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Curaçao (CUW)","Population, total (SP.POP.TOTL)","Data sources : Central bureau of Statistics"
Country-Series,"Cayman Islands (CYM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cyprus (CYP)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Czech Republic (CZE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Germany (DEU)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Djibouti (DJI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Dominica (DMA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Denmark (DNK)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Dominican Republic (DOM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Spain (ESP)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Estonia (EST)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Ethiopia (ETH)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Finland (FIN)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Fiji (FJI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"France (FRA)","Population, total (SP.POP.TOTL)","Data sources : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion."
Country-Series,"Faroe Islands (FRO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Micronesia, Fed. Sts. (FSM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Gabon (GAB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"United Kingdom (GBR)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Georgia (GEO)","Population, total (SP.POP.TOTL)","Data sources : GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia."
Country-Series,"Ghana (GHA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Gibraltar (GIB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Guinea (GIN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Gambia, The (GMB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Guinea-Bissau (GNB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Equatorial Guinea (GNQ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Greece (GRC)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Grenada (GRD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Greenland (GRL)","Population, total (SP.POP.TOTL)","Data sources : Statistics Greenland"
Country-Series,"Guatemala (GTM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Guam (GUM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Hong Kong SAR, China (HKG)","Population, total (SP.POP.TOTL)","Data sources : Census and Statistics Department"
Country-Series,"Honduras (HND)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Croatia (HRV)","Population, total (SP.POP.TOTL)","Data sources : Croatian Bureau of Statistics, Council of Europe"
Country-Series,"Haiti (HTI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Hungary (HUN)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Indonesia (IDN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Isle of Man (IMN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"India (IND)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Ireland (IRL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Iran, Islamic Rep. (IRN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Iraq (IRQ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Iceland (ISL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Israel (ISR)","Population, total (SP.POP.TOTL)","Data sources : Central Bureau of Statistics"
Country-Series,"Italy (ITA)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Jamaica (JAM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Jordan (JOR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Japan (JPN)","Population, total (SP.POP.TOTL)","Data sources : Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
Country-Series,"Kazakhstan (KAZ)","Population, total (SP.POP.TOTL)","Data sources : Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects"
Country-Series,"Kenya (KEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Kyrgyz Republic (KGZ)","Population, total (SP.POP.TOTL)","Data sources : National Statistical Committee"
Country-Series,"Cambodia (KHM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Kiribati (KIR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"St. Kitts and Nevis (KNA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Korea, Rep. (KOR)","Population, total (SP.POP.TOTL)","Data sources : Korean Statistical Information Service"
Country-Series,"Kuwait (KWT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Lao PDR (LAO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Lebanon (LBN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Liberia (LBR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Libya (LBY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"St. Lucia (LCA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Liechtenstein (LIE)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Sri Lanka (LKA)","Population, total (SP.POP.TOTL)","Data sources : Department of Census and Statistics Sri Lanka, United Nations World Population Prospects"
Country-Series,"Lesotho (LSO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Lithuania (LTU)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Luxembourg (LUX)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Latvia (LVA)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Macao SAR, China (MAC)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"St. Martin (French part) (MAF)","Population, total (SP.POP.TOTL)","Data sources : U.S. Census Bureau"
Country-Series,"Morocco (MAR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Monaco (MCO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Moldova (MDA)","Population, total (SP.POP.TOTL)","Data sources : National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova."
Country-Series,"Madagascar (MDG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Maldives (MDV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Mexico (MEX)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Marshall Islands (MHL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Macedonia, FYR (MKD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Mali (MLI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Malta (MLT)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Myanmar (MMR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Montenegro (MNE)","Population, total (SP.POP.TOTL)","Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards."
Country-Series,"Mongolia (MNG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Northern Mariana Islands (MNP)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Mozambique (MOZ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Mauritania (MRT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Mauritius (MUS)","Population, total (SP.POP.TOTL)","Data sources : Statistics Mauritius, United Nations World Population Prospects"
Country-Series,"Malawi (MWI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Malaysia (MYS)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Namibia (NAM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"New Caledonia (NCL)","Population, total (SP.POP.TOTL)","Data sources : Institute of Statistics and Economic Studies"
Country-Series,"Niger (NER)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Nigeria (NGA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Nicaragua (NIC)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Netherlands (NLD)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Norway (NOR)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Nepal (NPL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Nauru (NRU)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects, IMF and World Bank's country office"
Country-Series,"New Zealand (NZL)","Population, total (SP.POP.TOTL)","Data sources : Statistics New Zealand"
Country-Series,"Oman (OMN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Pakistan (PAK)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Panama (PAN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Peru (PER)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Philippines (PHL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Palau (PLW)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Papua New Guinea (PNG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Poland (POL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Puerto Rico (PRI)","Population, total (SP.POP.TOTL)","Data sources : U.S. Census Bureau, 1990 Census"
Country-Series,"Korea, Dem. People's Rep. (PRK)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Portugal (PRT)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Paraguay (PRY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"West Bank and Gaza (PSE)","Population, total (SP.POP.TOTL)","Data sources : World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem."
Country-Series,"French Polynesia (PYF)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Qatar (QAT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Romania (ROU)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Russian Federation (RUS)","Population, total (SP.POP.TOTL)","Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census."
Country-Series,"Rwanda (RWA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Saudi Arabia (SAU)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Sudan (SDN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan."
Country-Series,"Senegal (SEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Singapore (SGP)","Population, total (SP.POP.TOTL)","Data sources : Department of Statistics Singapore"
Country-Series,"Solomon Islands (SLB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Sierra Leone (SLE)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"El Salvador (SLV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"San Marino (SMR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Somalia (SOM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Serbia (SRB)","Population, total (SP.POP.TOTL)","Data sources : Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo."
Country-Series,"South Sudan (SSD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"São Tomé and Principe (STP)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Suriname (SUR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Slovak Republic (SVK)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Slovenia (SVN)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Sweden (SWE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Eswatini (SWZ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Sint Maarten (Dutch part) (SXM)","Population, total (SP.POP.TOTL)","Data sources : Department of Statistics, St. Maarten; US census bureau"
Country-Series,"Seychelles (SYC)","Population, total (SP.POP.TOTL)","Data sources : National Bureau of Statistics"
Country-Series,"Syrian Arab Republic (SYR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Turks and Caicos Islands (TCA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Chad (TCD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Togo (TGO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Thailand (THA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tajikistan (TJK)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Turkmenistan (TKM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Timor-Leste (TLS)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tonga (TON)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Trinidad and Tobago (TTO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tunisia (TUN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Turkey (TUR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tuvalu (TUV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tanzania (TZA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Uganda (UGA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Ukraine (UKR)","Population, total (SP.POP.TOTL)","Data sources : State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report"
Country-Series,"Uruguay (URY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"United States (USA)","Population, total (SP.POP.TOTL)","Data sources : U.S. Census Bureau"
Country-Series,"Uzbekistan (UZB)","Population, total (SP.POP.TOTL)","Data sources : State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects"
Country-Series,"St. Vincent and the Grenadines (VCT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Venezuela, RB (VEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"British Virgin Islands (VGB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Virgin Islands (U.S.) (VIR)","Population, total (SP.POP.TOTL)","Data sources : U.S. Census Bureau, United Nations Population and Vital Statistics Report"
Country-Series,"Vietnam (VNM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Vanuatu (VUT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Samoa (WSM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Kosovo (XKX)","Population, total (SP.POP.TOTL)","Data sources : World Bank's Kosovo coutnry office, Kosovo Agency of Statistics, U.S. Census Bureau"
Country-Series,"Yemen, Rep. (YEM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"South Africa (ZAF)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Zambia (ZMB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Zimbabwe (ZWE)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
