Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Australia (AUS)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Australia (AUS)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Australia (AUS)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Australia (AUS)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Australia (AUS)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Australia (AUS)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Australia (AUS)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Australia (AUS)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Australia (AUS)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Australia (AUS)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Christmas Island, Cocos (Keeling) Islands, and Norfolk Island."
FootNote,"Azerbaijan (AZE)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Nagorno-Karabakh."
FootNote,"Azerbaijan (AZE)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Nagorno-Karabakh."
FootNote,"Azerbaijan (AZE)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Nagorno-Karabakh."
FootNote,"Azerbaijan (AZE)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Nagorno-Karabakh."
FootNote,"Azerbaijan (AZE)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Nagorno-Karabakh."
FootNote,"Azerbaijan (AZE)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Nagorno-Karabakh."
FootNote,"Azerbaijan (AZE)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Nagorno-Karabakh."
FootNote,"Azerbaijan (AZE)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Nagorno-Karabakh."
FootNote,"Azerbaijan (AZE)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Nagorno-Karabakh."
FootNote,"Azerbaijan (AZE)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Nagorno-Karabakh."
FootNote,"Channel Islands (CHI)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Refers to Guernsey, and Jersey."
FootNote,"Channel Islands (CHI)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Refers to Guernsey, and Jersey."
FootNote,"Channel Islands (CHI)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Refers to Guernsey, and Jersey."
FootNote,"Channel Islands (CHI)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Refers to Guernsey, and Jersey."
FootNote,"Channel Islands (CHI)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Refers to Guernsey, and Jersey."
FootNote,"Channel Islands (CHI)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Refers to Guernsey, and Jersey."
FootNote,"Channel Islands (CHI)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Refers to Guernsey, and Jersey."
FootNote,"Channel Islands (CHI)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Refers to Guernsey, and Jersey."
FootNote,"Channel Islands (CHI)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Refers to Guernsey, and Jersey."
FootNote,"Channel Islands (CHI)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Refers to Guernsey, and Jersey."
FootNote,"China (CHN)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"China (CHN)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"China (CHN)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"China (CHN)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"China (CHN)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"China (CHN)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"China (CHN)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"China (CHN)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"China (CHN)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"China (CHN)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","For statistical purposes, the data for China do not include Hong Kong SAR, China and Macao SAR, China."
FootNote,"Cyprus (CYP)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Northern-Cyprus."
FootNote,"Cyprus (CYP)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Northern-Cyprus."
FootNote,"Cyprus (CYP)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Northern-Cyprus."
FootNote,"Cyprus (CYP)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Northern-Cyprus."
FootNote,"Cyprus (CYP)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Northern-Cyprus."
FootNote,"Cyprus (CYP)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Northern-Cyprus."
FootNote,"Cyprus (CYP)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Northern-Cyprus."
FootNote,"Cyprus (CYP)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Northern-Cyprus."
FootNote,"Cyprus (CYP)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Northern-Cyprus."
FootNote,"Cyprus (CYP)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Northern-Cyprus."
FootNote,"Spain (ESP)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Spain (ESP)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Spain (ESP)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Spain (ESP)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Spain (ESP)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Spain (ESP)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Spain (ESP)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Spain (ESP)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Spain (ESP)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Spain (ESP)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Canary Islands, Ceuta and Melilla."
FootNote,"Finland (FIN)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Åland Islands."
FootNote,"Finland (FIN)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Åland Islands."
FootNote,"Finland (FIN)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Åland Islands."
FootNote,"Finland (FIN)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Åland Islands."
FootNote,"Finland (FIN)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Åland Islands."
FootNote,"Finland (FIN)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Åland Islands."
FootNote,"Finland (FIN)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Åland Islands."
FootNote,"Finland (FIN)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Åland Islands."
FootNote,"Finland (FIN)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Åland Islands."
FootNote,"Finland (FIN)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Åland Islands."
FootNote,"Georgia (GEO)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Abkhazia and South Ossetia."
FootNote,"Georgia (GEO)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Abkhazia and South Ossetia."
FootNote,"Georgia (GEO)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Abkhazia and South Ossetia."
FootNote,"Georgia (GEO)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Abkhazia and South Ossetia."
FootNote,"Georgia (GEO)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Abkhazia and South Ossetia."
FootNote,"Georgia (GEO)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Abkhazia and South Ossetia."
FootNote,"Georgia (GEO)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Abkhazia and South Ossetia."
FootNote,"Georgia (GEO)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Abkhazia and South Ossetia."
FootNote,"Georgia (GEO)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Abkhazia and South Ossetia."
FootNote,"Georgia (GEO)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Abkhazia and South Ossetia."
FootNote,"Moldova (MDA)","Population, total (SP.POP.TOTL)","1960 (YR1960)","Calculated backwards from 1995 using UN WPP's growth rate for whole Moldova, and decimal points were deleted."
FootNote,"Moldova (MDA)","Population, total (SP.POP.TOTL)","1970 (YR1970)","Calculated backwards from 1995 using UN WPP's growth rate for whole Moldova, and decimal points were deleted."
FootNote,"Moldova (MDA)","Population, total (SP.POP.TOTL)","1980 (YR1980)","Calculated backwards from 1995 using UN WPP's growth rate for whole Moldova, and decimal points were deleted."
FootNote,"Moldova (MDA)","Population, total (SP.POP.TOTL)","1990 (YR1990)","Calculated backwards from 1995 using UN WPP's growth rate for whole Moldova, and decimal points were deleted."
FootNote,"Moldova (MDA)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Transnistria."
FootNote,"Moldova (MDA)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Transnistria."
FootNote,"Moldova (MDA)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Transnistria."
FootNote,"Moldova (MDA)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Transnistria."
FootNote,"Moldova (MDA)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Transnistria."
FootNote,"Moldova (MDA)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Transnistria."
FootNote,"Moldova (MDA)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Transnistria."
FootNote,"Moldova (MDA)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Transnistria."
FootNote,"Moldova (MDA)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Transnistria."
FootNote,"Moldova (MDA)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Transnistria."
FootNote,"Mauritius (MUS)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Mauritius (MUS)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Mauritius (MUS)","Population, total (SP.POP.TOTL)","1980 (YR1980)","Excluding Agalega and St. Brandon."
FootNote,"Mauritius (MUS)","Population, total (SP.POP.TOTL)","1990 (YR1990)","Excluding Agalega and St. Brandon."
FootNote,"Mauritius (MUS)","Population, total (SP.POP.TOTL)","2000 (YR2000)","Excluding Agalega and St. Brandon."
FootNote,"Mauritius (MUS)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Mauritius (MUS)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Mauritius (MUS)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Mauritius (MUS)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Mauritius (MUS)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Mauritius (MUS)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Mauritius (MUS)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Mauritius (MUS)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Agalega, Rodrigues, and Saint Brandon."
FootNote,"Malaysia (MYS)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Sabah and Sarawak."
FootNote,"Malaysia (MYS)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Sabah and Sarawak."
FootNote,"Malaysia (MYS)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Sabah and Sarawak."
FootNote,"Malaysia (MYS)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Sabah and Sarawak."
FootNote,"Malaysia (MYS)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Sabah and Sarawak."
FootNote,"Malaysia (MYS)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Sabah and Sarawak."
FootNote,"Malaysia (MYS)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Sabah and Sarawak."
FootNote,"Malaysia (MYS)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Sabah and Sarawak."
FootNote,"Malaysia (MYS)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Sabah and Sarawak."
FootNote,"Malaysia (MYS)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Sabah and Sarawak."
FootNote,"Norway (NOR)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Svalbard and Jan Mayen Islands."
FootNote,"Norway (NOR)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Svalbard and Jan Mayen Islands."
FootNote,"Norway (NOR)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Svalbard and Jan Mayen Islands."
FootNote,"Norway (NOR)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Svalbard and Jan Mayen Islands."
FootNote,"Norway (NOR)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Svalbard and Jan Mayen Islands."
FootNote,"Norway (NOR)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Svalbard and Jan Mayen Islands."
FootNote,"Norway (NOR)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Svalbard and Jan Mayen Islands."
FootNote,"Norway (NOR)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Svalbard and Jan Mayen Islands."
FootNote,"Norway (NOR)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Svalbard and Jan Mayen Islands."
FootNote,"Norway (NOR)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Svalbard and Jan Mayen Islands."
FootNote,"Poland (POL)","Population, total (SP.POP.TOTL)","2000 (YR2000)","Break in series."
FootNote,"West Bank and Gaza (PSE)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including East Jerusalem."
FootNote,"West Bank and Gaza (PSE)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including East Jerusalem."
FootNote,"West Bank and Gaza (PSE)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including East Jerusalem."
FootNote,"West Bank and Gaza (PSE)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including East Jerusalem."
FootNote,"West Bank and Gaza (PSE)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including East Jerusalem."
FootNote,"West Bank and Gaza (PSE)","Population, total (SP.POP.TOTL)","2000 (YR2000)","Interpolated between 1997-2007."
FootNote,"West Bank and Gaza (PSE)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including East Jerusalem."
FootNote,"West Bank and Gaza (PSE)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including East Jerusalem."
FootNote,"West Bank and Gaza (PSE)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including East Jerusalem."
FootNote,"West Bank and Gaza (PSE)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including East Jerusalem."
FootNote,"West Bank and Gaza (PSE)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including East Jerusalem."
FootNote,"Serbia (SRB)","Population, total (SP.POP.TOTL)","1960 (YR1960)","Data on Kosovo are excluded."
FootNote,"Serbia (SRB)","Population, total (SP.POP.TOTL)","1970 (YR1970)","Data on Kosovo are excluded."
FootNote,"Serbia (SRB)","Population, total (SP.POP.TOTL)","1980 (YR1980)","Data on Kosovo are excluded."
FootNote,"Serbia (SRB)","Population, total (SP.POP.TOTL)","1990 (YR1990)","Data on Kosovo are excluded."
FootNote,"Serbia (SRB)","Population, total (SP.POP.TOTL)","2000 (YR2000)","Data on Kosovo are excluded."
FootNote,"Serbia (SRB)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Kosovo."
FootNote,"Serbia (SRB)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Kosovo."
FootNote,"Serbia (SRB)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Kosovo."
FootNote,"Serbia (SRB)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Kosovo."
FootNote,"Serbia (SRB)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Kosovo."
FootNote,"Serbia (SRB)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Kosovo."
FootNote,"Serbia (SRB)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Kosovo."
FootNote,"Serbia (SRB)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Kosovo."
FootNote,"Serbia (SRB)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Kosovo."
FootNote,"Serbia (SRB)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Kosovo."
FootNote,"Tanzania (TZA)","Population, female (SP.POP.TOTL.FE.IN)","1960 (YR1960)","Including Zanzibar."
FootNote,"Tanzania (TZA)","Population, female (SP.POP.TOTL.FE.IN)","1970 (YR1970)","Including Zanzibar."
FootNote,"Tanzania (TZA)","Population, female (SP.POP.TOTL.FE.IN)","1980 (YR1980)","Including Zanzibar."
FootNote,"Tanzania (TZA)","Population, female (SP.POP.TOTL.FE.IN)","1990 (YR1990)","Including Zanzibar."
FootNote,"Tanzania (TZA)","Population, female (SP.POP.TOTL.FE.IN)","2000 (YR2000)","Including Zanzibar."
FootNote,"Tanzania (TZA)","Population, male (SP.POP.TOTL.MA.IN)","1960 (YR1960)","Including Zanzibar."
FootNote,"Tanzania (TZA)","Population, male (SP.POP.TOTL.MA.IN)","1970 (YR1970)","Including Zanzibar."
FootNote,"Tanzania (TZA)","Population, male (SP.POP.TOTL.MA.IN)","1980 (YR1980)","Including Zanzibar."
FootNote,"Tanzania (TZA)","Population, male (SP.POP.TOTL.MA.IN)","1990 (YR1990)","Including Zanzibar."
FootNote,"Tanzania (TZA)","Population, male (SP.POP.TOTL.MA.IN)","2000 (YR2000)","Including Zanzibar."
